"gene_id","gene_name","log2FoldChange","foldChange","pvalue","padj","baseMean"
"ENSG00000004799","PDK4",1.46267624155954,2.75619171335964,6.15678602158657e-05,0.0154203186738027,958.760856831302
"ENSG00000011198","ABHD5",1.11130881573584,2.16041551739254,0.000101489871231789,0.0213090682275345,263.009227515039
"ENSG00000011600","TYROBP",1.32739877743156,2.50949796716167,7.25006629882142e-05,0.016627109879285,129.770160204439
"ENSG00000038427","VCAN",1.14575139143866,2.21261339065073,0.000103572850863171,0.0213090682275345,7072.57356422202
"ENSG00000051108","HERPUD1",1.25727477446958,2.39043764707983,2.92743963270248e-06,0.00168860040631793,238.64153010635
"ENSG00000076067","RBMS2",1.36737312291996,2.58000367906171,0.000126789290019039,0.022805636419692,430.061883535252
"ENSG00000077942","FBLN1",1.96384609819563,3.901005677884,0.000376893468153483,0.0415193860278459,139.107917574958
"ENSG00000090376","IRAK3",1.21247555745069,2.31734935740071,0.000423343669307323,0.0442766304684884,101.551176703309
"ENSG00000090382","LYZ",2.18648164385893,4.55194032350213,1.74064790183459e-05,0.00602422414753116,51.1671415773701
"ENSG00000091879","ANGPT2",2.54360697318636,5.83044893634599,0.000320533478110446,0.0378851854792402,625.702920761666
"ENSG00000092531","SNAP23",1.04550174027948,2.06408408066365,0.000319212171910156,0.0378851854792402,267.378919749243
"ENSG00000100906","NFKBIA",1.30391339749598,2.46897700089224,4.63075999608242e-07,0.000489702869585716,375.754738666708
"ENSG00000102580","DNAJC3",1.02543742625783,2.03557647901956,0.000185040468309653,0.0274633619323343,407.832452480425
"ENSG00000105677","TMEM147",1.43521620832916,2.70422690247479,7.17235952130524e-05,0.016627109879285,103.476854524355
"ENSG00000105851","PIK3CG",1.72280920485052,3.30078507926248,0.000260800746115959,0.0339542391570056,90.5951744424407
"ENSG00000105967","TFEC",1.48411310717877,2.79745147685759,1.59150079253067e-05,0.00582581107419641,95.8271208236185
"ENSG00000106560","GIMAP2",1.5095087082771,2.84713067140766,1.50065901362221e-06,0.00121852883230806,53.6059457849432
"ENSG00000106809","OGN",2.09249625305109,4.26485370102874,0.000160704101750287,0.0254546071475314,62.984995034925
"ENSG00000108830","RND2",1.34632833784533,2.54264198363465,5.41640887216061e-05,0.0141234716276133,245.80373763945
"ENSG00000109171","SLAIN2",1.03902151517483,2.05483352263731,4.15044996983074e-06,0.00232364162281553,567.303072513655
"ENSG00000109814","UGDH",1.72188121974095,3.29866259710571,2.30146607367312e-06,0.00141068670328628,160.546352287973
"ENSG00000110172","CHORDC1",1.46711518209448,2.76468513157593,0.000223029163298081,0.0305421591609998,1039.82853829957
"ENSG00000111341","MGP",3.19940100453548,9.18577218883827,5.92422262036679e-06,0.00281918943946705,128.030329296906
"ENSG00000112773","TENT5A",1.37843712790854,2.59986574924607,0.000104009364548449,0.0213090682275345,71.7028549398303
"ENSG00000112837","TBX18",1.76932651977449,3.40894782741282,7.93933726740354e-05,0.0177794452805913,33.2182864385286
"ENSG00000113088","GZMK",4.44567603081455,21.7912346015835,0.000305298904008688,0.0377361340117233,11.8657171584052
"ENSG00000115165","CYTIP",2.45103020525903,5.46806428973646,0.000100070111586368,0.0213090682275345,12.6449660970254
"ENSG00000116096","SPR",4.0987041607616,17.1329795197447,0.000492746187589206,0.0498905514934071,15.1512254769576
"ENSG00000116774","OLFML3",1.80865973788799,3.50316693486758,1.07344817447316e-05,0.00457887637515046,39.9652642774878
"ENSG00000118271","TTR",6.42674156592144,86.02842772773,3.33349725910571e-07,0.000441409319312333,2737.87909700704
"ENSG00000120729","MYOT",1.81855665569674,3.52728135059688,5.15284369550135e-06,0.00260515759448836,117.997446059657
"ENSG00000120913","PDLIM2",3.34084432289282,10.1319806576599,3.3080698723839e-10,1.29703139426702e-06,51.9965575759493
"ENSG00000121966","CXCR4",2.67392530862944,6.38163151937202,8.23734012331462e-12,7.83988846236469e-08,205.852188577335
"ENSG00000122884","P4HA1",2.29161035398124,4.8960230631228,1.61721125840788e-10,1.0261205434598e-06,111.528269669162
"ENSG00000123094","RASSF8",1.31419509101503,2.48663557481251,5.20073488786749e-06,0.00260515759448836,435.559698262263
"ENSG00000123329","ARHGAP9",1.98543756056276,3.95982743494145,1.13097197184662e-05,0.00461742001874925,39.8042075410389
"ENSG00000124795","DEK",1.1167966698891,2.16864915173813,0.000118921834382988,0.0224126447275265,501.96384983517
"ENSG00000125733","TRIP10",3.83941056280676,14.3145514904699,1.61932630798036e-06,0.00123295505089625,34.977800645112
"ENSG00000126777","KTN1",1.01292645556504,2.01800039322362,6.0075150614984e-09,1.63361498850889e-05,2748.23333674163
"ENSG00000131097","HIGD1B",2.59195249368906,6.02914110218839,1.93120478336054e-06,0.00136357047523535,64.2823507545217
"ENSG00000131724","IL13RA1",1.2929093613322,2.45021672181214,1.08247668443273e-05,0.00457887637515046,334.33673555679
"ENSG00000134061","CD180",1.60504486755299,3.04205211227749,0.000111956495358258,0.0221988738452546,44.6977602542692
"ENSG00000134077","THUMPD3",1.33251366490809,2.51841085595856,0.000174393885968763,0.0263459334874239,226.837609033862
"ENSG00000134215","VAV3",1.67992167789681,3.20410555876708,0.000448247285055121,0.0463716688642622,94.8955003667842
"ENSG00000134294","SLC38A2",1.99297014925496,3.98055652489337,4.78317019357587e-06,0.00260136127527762,2657.56151468467
"ENSG00000136167","LCP1",2.08946279605969,4.25589570346248,1.79518706773141e-07,0.000310648962129703,270.619793281377
"ENSG00000136205","TNS3",1.25500988134936,2.38668783298005,4.93307462720265e-05,0.0131846683759724,1240.37815353493
